char,pinyin,eng
你,nǐ,you
在,zài,exist
我们,wǒmen,us
不,bù,No
有,yǒu,have
就,jiù,At once
吧,bā,Bar
她,tā,she
这,zhè,this
说,shuō,explain
都,dū,All
去,qù,go
很,hěn,very
啊,a,ah
要,yào,want
也,yě,also
他们,tāmen,them
和,hé,and
人,rén,people
会,huì,meeting
一个,yīgè,one
来,lái,Come
对,duì,right
没有,méiyǒu,No
做,zuò,Do
不是,bùshì,no
让,ràng,let
给,gěi,Give
you,you,you
可以,kěyǐ,Can
你们,nǐmen,you
呢,ne,Woolen cloth
但,dàn,but
到,dào,arrive
现在,xiànzài,Now
the,the,the
这个,zhège,this
能,néng,able
怎么,zěnme,how
就是,jiùshì,that is
跟,gēn,and
如果,rúguǒ,if
没,méi,without
它,tā,it
走,zǒu,Walk
上,shàng,superior
被,bèi,quilt
这样,zhèyàng,so
个,gè,individual
自己,zìjǐ,Own
着,zhe,Be
谁,shéi,who
不会,bùhuì,Won't
告诉,gàosu,Tell
不能,bùnéng,cannot
真的,zhēnde,real
先生,xiānsheng,gentlemen
只是,zhǐshì,only
不要,bùyào,don't want
这是,zhèshì,This is
已经,yǐjīng,already
再,zài,Again
哦,ó,oh
需要,xūyào,need
因为,yīnwèi,because
谢谢,xièxie,Thanks
像,xiàng,picture
这么,zhème,so
可能,kěnéng,possible
但是,dànshì,but
那个,nàgè,that
所以,suǒyǐ,so
喜欢,xǐhuan,like
又,yòu,again
